UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
10,PRR+,1
10,PRR+,1
10,PRR+,1
10,PRR+,0.9
10,PRR+,1
25,PRR+,1
25,PRR+,0.8
25,PRR+,1
25,PRR+,0.777777778
25,PRR+,1
32,PRR+,1
32,PRR+,0.8
32,PRR+,1
32,PRR+,0.8
32,PRR+,0.9
52,PRR+,0.8
52,PRR+,0.3
52,PRR+,0.5
52,PRR+,0.4
52,PRR+,0.6
10,PRR-,1
10,PRR-,1
10,PRR-,0.7
10,PRR-,1
10,PRR-,0.888888889
25,PRR-,0.777777778
25,PRR-,0.666666667
25,PRR-,0
25,PRR-,0.5
25,PRR-,0.888888889
32,PRR-,0.1
32,PRR-,0.444444444
32,PRR-,0
32,PRR-,0.272727273
32,PRR-,0.5
52,PRR-,0
52,PRR-,0
52,PRR-,0
52,PRR-,0
52,PRR-,0
