UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
106,PRR+,0
106,PRR+,0
106,PRR+,0
106,PRR+,0
106,PRR+,0
60,PRR+,0
60,PRR+,0
60,PRR+,0
60,PRR+,0
60,PRR+,0
42,PRR+,0
42,PRR+,0
42,PRR+,0
42,PRR+,0
42,PRR+,0
19,PRR+,1
19,PRR+,0.75
19,PRR+,0.833333333
19,PRR+,1
19,PRR+,1
106,PRR-,0
106,PRR-,0
106,PRR-,0
106,PRR-,0
106,PRR-,0
60,PRR-,0
60,PRR-,0
60,PRR-,0
60,PRR-,0
60,PRR-,0
42,PRR-,0
42,PRR-,0
42,PRR-,0
42,PRR-,0
42,PRR-,0
19,PRR-,0
19,PRR-,0
19,PRR-,0
19,PRR-,0
19,PRR-,0
