UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
121,PRR+,1
121,PRR+,1
121,PRR+,1
121,PRR+,1
121,PRR+,1
208,PRR+,0.8
208,PRR+,0.9
208,PRR+,0.5
208,PRR+,0.9
208,PRR+,1
268,PRR+,0
268,PRR+,0
268,PRR+,0.3
268,PRR+,0.4
268,PRR+,0.5
433,PRR+,0
433,PRR+,0
433,PRR+,0
433,PRR+,0
433,PRR+,0
121,PRR-,0
121,PRR-,0
121,PRR-,0
121,PRR-,0
121,PRR-,0
208,PRR-,0
208,PRR-,0
208,PRR-,0
208,PRR-,0
208,PRR-,0
268,PRR-,0
268,PRR-,0
268,PRR-,0
268,PRR-,0
268,PRR-,0
433,PRR-,0
433,PRR-,0
433,PRR-,0
433,PRR-,0
433,PRR-,0
