UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
40,PRR+,1
40,PRR+,1
40,PRR+,1
40,PRR+,1
40,PRR+,1
69,PRR+,0.714285714
69,PRR+,1
69,PRR+,0.857142857
69,PRR+,1
69,PRR+,1
89,PRR+,0.25
89,PRR+,0.857142857
89,PRR+,0.375
89,PRR+,0.285714286
89,PRR+,0
143,PRR+,0
143,PRR+,0
143,PRR+,0
143,PRR+,0
143,PRR+,0
40,PRR-,0.5
40,PRR-,0.625
40,PRR-,0.857142857
40,PRR-,0.5
40,PRR-,0.714285714
69,PRR-,0.714285714
69,PRR-,0.142857143
69,PRR-,0.5
69,PRR-,0.285714286
69,PRR-,0.142857143
89,PRR-,0
89,PRR-,0
89,PRR-,0
89,PRR-,0
89,PRR-,0
143,PRR-,0
143,PRR-,0
143,PRR-,0
143,PRR-,0
143,PRR-,0
