UV-B,PRR,survival
NA,dark control,0.9
NA,dark control,0.9
NA,dark control,0.8
NA,dark control,1
NA,dark control,1
31.7,PRR+,0
31.7,PRR+,0
31.7,PRR+,0
31.7,PRR+,0
31.7,PRR+,0.2
22.3,PRR+,0.9
22.3,PRR+,0.1
22.3,PRR+,0.8
22.3,PRR+,0.7
22.3,PRR+,0.6
12.9,PRR+,0.6
12.9,PRR+,0.9
12.9,PRR+,0.5
12.9,PRR+,0.8
12.9,PRR+,1
9.9,PRR+,0.9
9.9,PRR+,0.7
9.9,PRR+,0.8
9.9,PRR+,0.8
9.9,PRR+,1
31.7,PRR-,0
31.7,PRR-,0
31.7,PRR-,0
31.7,PRR-,0
31.7,PRR-,0
22.3,PRR-,0
22.3,PRR-,0.2
22.3,PRR-,0.3
22.3,PRR-,0
22.3,PRR-,0
12.9,PRR-,0.3
12.9,PRR-,0.444444444
12.9,PRR-,0.4
12.9,PRR-,0.6
12.9,PRR-,0.3
9.9,PRR-,0.5
9.9,PRR-,0.5
9.9,PRR-,0.4
9.9,PRR-,0.3
9.9,PRR-,0.8
