PRR,UV-B,survival
PRR+,0,1.072340426
PRR+,0,0.625531915
PRR+,0,0.919148936
PRR+,0,1.557446809
PRR+,0,1.14893617
PRR+,0,0.676595745
PRR+,7.7,0.268085106
PRR+,7.7,0.268085106
PRR+,7.7,0.434042553
PRR+,7.7,0.523404255
PRR+,13.57,0.140425532
PRR+,13.57,0.10212766
PRR+,13.57,0.114893617
PRR+,13.57,0.10212766
PRR+,13.57,0.178723404
PRR+,13.57,0.191489362
PRR+,23.49,0.063829787
PRR+,23.49,0.025531915
PRR+,23.49,0.153191489
PRR+,23.49,0.038297872
PRR+,23.49,0.165957447
PRR+,23.49,0.076595745
PRR+,33.46,0.153191489
PRR+,33.46,0.344680851
PRR+,33.46,0.076595745
PRR+,33.46,0.05106383
PRR+,33.46,0.076595745
PRR+,33.46,0.05106383
PRR+,40.14,0.012765957
PRR+,40.14,0.025531915
PRR+,40.14,0.038297872
PRR+,40.14,0.063829787
PRR+,40.14,0.012765957
PRR+,40.14,0.012765957
dark control,NA,1.072340426
dark control,NA,0.625531915
dark control,NA,0.919148936
dark control,NA,1.557446809
dark control,NA,1.14893617
dark control,NA,0.676595745
PRR-,7.7,0.49787234
PRR-,7.7,0.382978723
PRR-,7.7,0.319148936
PRR-,7.7,0.395744681
PRR-,7.7,0.255319149
PRR-,7.7,0.165957447
PRR-,13.57,0.293617021
PRR-,13.57,0.178723404
PRR-,13.57,0.191489362
PRR-,13.57,0.127659575
PRR-,23.49,0.089361702
PRR-,23.49,0.127659575
PRR-,23.49,0.229787234
PRR-,23.49,0.127659575
PRR-,23.49,0.114893617
PRR-,23.49,0.076595745
PRR-,33.46,0.191489362
PRR-,33.46,0.255319149
PRR-,33.46,0.114893617
PRR-,33.46,0.127659575
PRR-,33.46,0.063829787
PRR-,33.46,0.05106383
PRR-,40.14,0.05106383
PRR-,40.14,0.05106383
PRR-,40.14,0.038297872
PRR-,40.14,0.012765957
