PRR,UV-B,survival
PRR+,0,0.850241546
PRR+,0,0.893719807
PRR+,0,1.033816425
PRR+,0,1.09178744
PRR+,0,1.130434783
PRR+,28.11,1.231884058
PRR+,28.11,1.033816425
PRR+,28.11,1.217391304
PRR+,28.11,1.140096618
PRR+,48.68,0.758454106
PRR+,48.68,0.695652174
PRR+,48.68,0.52173913
PRR+,48.68,0.661835749
PRR+,48.68,0.550724638
PRR+,48.68,0.734299517
PRR+,69.35,0.541062802
PRR+,69.35,0.502415459
PRR+,69.35,0.724637681
PRR+,69.35,0.550724638
PRR+,83.18,0.400966184
PRR+,83.18,0.463768116
PRR+,83.18,0.173913044
PRR+,83.18,0.198067633
PRR+,83.18,0.309178744
PRR+,83.18,0.289855073
PRR+,120.2,0.096618358
PRR+,120.2,0.082125604
PRR+,120.2,0.038647343
PRR+,120.2,0.062801932
dark control,NA,0.850241546
dark control,NA,0.893719807
dark control,NA,1.033816425
dark control,NA,1.09178744
dark control,NA,1.130434783
PRR-,28.11,1.61352657
PRR-,28.11,1.492753623
PRR-,28.11,1.657004831
PRR-,28.11,1.338164251
PRR-,28.11,1.84057971
PRR-,28.11,1.806763285
PRR-,48.68,0.826086957
PRR-,48.68,0.797101449
PRR-,48.68,0.676328502
PRR-,69.35,0.657004831
PRR-,69.35,0.637681159
PRR-,69.35,0.236714976
PRR-,69.35,0.299516908
PRR-,69.35,0.415458937
PRR-,69.35,0.400966184
PRR-,83.18,0.198067633
PRR-,83.18,0.149758454
PRR-,83.18,0.183574879
PRR-,83.18,0.207729469
PRR-,83.18,0.101449275
PRR-,83.18,0.154589372
PRR-,120.2,0.260869565
PRR-,120.2,0.256038647
PRR-,120.2,0.048309179
PRR-,120.2,0.009661836
PRR-,120.2,0.009661836
PRR-,120.2,0.004830918
