PRR,UV-B,survival
dark control,NA,1.06
dark control,NA,1.11
dark control,NA,0.83
PRR+,9.39,0.51
PRR+,9.39,0.83
PRR+,9.39,0.4
PRR+,9.39,0.62
PRR+,9.39,1.12
PRR+,13.57,0.21
PRR+,13.57,0.23
PRR+,13.57,0.31
PRR+,13.57,0.27
PRR+,23.49,0.16
PRR+,23.49,0.2
PRR+,23.49,0.05
PRR+,23.49,0.07
PRR+,23.49,0.12
PRR+,23.49,0.11
PRR+,33.47,0.01
PRR+,33.47,0.01
PRR+,33.47,0
PRR+,33.47,0.01
PRR+,33.47,0.01
PRR+,33.47,0
dark control,NA,1.06
dark control,NA,1.11
dark control,NA,0.83
PRR-,0.6,0.38
PRR-,0.6,0.42
PRR-,0.6,0.39
PRR-,0.6,0.3
PRR-,0.6,0.96
PRR-,0.6,0.43
PRR-,1,0.56
PRR-,1,0.51
PRR-,1,0.43
PRR-,1,0.56
PRR-,1,0.51
PRR-,1,0.52
PRR-,3.15,0.22
PRR-,3.15,0.2
PRR-,3.15,0.26
PRR-,3.15,0.26
PRR-,3.15,0.16
PRR-,3.15,0.26
PRR-,5,0.05
PRR-,5,0.06
PRR-,5,0.07
PRR-,5,0.07
PRR-,7.77,0.02
PRR-,7.77,0.02
PRR-,7.77,0.01
PRR-,7.77,0.01
PRR-,7.77,0.02
PRR-,7.77,0.02
