PRR,UV-B,survival
PRR+,0,1.002158662
PRR+,0,0.921208851
PRR+,0,1.076632488
PRR+,54,1.047490556
PRR+,54,0.791689153
PRR+,54,1.081489477
PRR+,134,0.495412844
PRR+,134,0.574743659
PRR+,134,0.696168376
PRR+,233,0.04695089
PRR+,233,0.064759849
PRR+,233,0
dark control,NA,1.156207367
dark control,NA,0.945429741
dark control,NA,0.898362892
PRR-,54,0.579126876
PRR-,54,0.579126876
PRR-,54,0.691678036
PRR-,134,0
PRR-,134,0.270122783
PRR-,134,0.311050478
PRR-,233,0.077762619
PRR-,233,0.063437926
PRR-,233,0.053206003
