UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
58.3,PRR+,1
58.3,PRR+,1
58.3,PRR+,1
58.3,PRR+,1
17.49,PRR+,0.333333333
17.49,PRR+,1
17.49,PRR+,1
17.49,PRR+,1
30.316,PRR+,1
30.316,PRR+,1
30.316,PRR+,1
30.316,PRR+,0.666666667
30.316,PRR+,1
30.316,PRR+,1
30.316,PRR+,0.666666667
32.065,PRR+,1
32.065,PRR+,1
32.065,PRR+,1
32.065,PRR+,1
38.478,PRR+,0.666666667
38.478,PRR+,1
38.478,PRR+,1
35.563,PRR+,1
35.563,PRR+,0.666666667
35.563,PRR+,0.666666667
35.563,PRR+,1
33.814,PRR+,1
33.814,PRR+,1
33.814,PRR+,1
33.814,PRR+,1
32.065,PRR+,1
32.065,PRR+,1
32.065,PRR+,0.666666667
32.065,PRR+,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,0.666666667
116.6,PRR+,0.333333333
116.6,PRR+,0.666666667
116.6,PRR+,0
116.6,PRR+,0.333333333
34.98,PRR+,1
34.98,PRR+,1
34.98,PRR+,1
34.98,PRR+,1
60.632,PRR+,0.666666667
60.632,PRR+,1
60.632,PRR+,0.333333333
60.632,PRR+,1
44.308,PRR+,0.666666667
44.308,PRR+,1
44.308,PRR+,1
44.308,PRR+,1
64.13,PRR+,1
64.13,PRR+,1
64.13,PRR+,1
64.13,PRR+,1
85.118,PRR+,1
85.118,PRR+,0.666666667
85.118,PRR+,1
85.118,PRR+,0.333333333
71.126,PRR+,1
71.126,PRR+,0.666666667
71.126,PRR+,0.25
71.126,PRR+,0.666666667
67.628,PRR+,1
67.628,PRR+,0.333333333
67.628,PRR+,1
67.628,PRR+,1
50.138,PRR+,1
50.138,PRR+,1
50.138,PRR+,1
50.138,PRR+,1
NA,dark control,0
NA,dark control,1
NA,dark control,0.333333333
NA,dark control,1
116.6,PRR+,0.333333333
116.6,PRR+,0.333333333
116.6,PRR+,0.666666667
116.6,PRR+,1
34.98,PRR+,0.666666667
34.98,PRR+,1
34.98,PRR+,0.333333333
34.98,PRR+,0.666666667
60.632,PRR+,0.666666667
60.632,PRR+,1
60.632,PRR+,0.666666667
60.632,PRR+,0.666666667
44.308,PRR+,0.666666667
44.308,PRR+,0.666666667
44.308,PRR+,0.333333333
44.308,PRR+,0.666666667
64.13,PRR+,0.666666667
64.13,PRR+,0.666666667
64.13,PRR+,0.666666667
64.13,PRR+,1
85.118,PRR+,1
85.118,PRR+,0.666666667
85.118,PRR+,0.666666667
85.118,PRR+,0.333333333
71.126,PRR+,0.333333333
71.126,PRR+,0.333333333
71.126,PRR+,0.666666667
71.126,PRR+,0.666666667
67.628,PRR+,1
67.628,PRR+,0.666666667
67.628,PRR+,1
67.628,PRR+,0.666666667
50.138,PRR+,1
50.138,PRR+,1
50.138,PRR+,0.666666667
50.138,PRR+,1
NA,dark control,1
NA,dark control,0.666666667
NA,dark control,0.333333333
NA,dark control,1
174.9,PRR+,0
174.9,PRR+,0.666666667
174.9,PRR+,0
174.9,PRR+,0.333333333
52.47,PRR+,1
52.47,PRR+,1
52.47,PRR+,0.666666667
52.47,PRR+,0.666666667
90.948,PRR+,0.666666667
90.948,PRR+,0.666666667
90.948,PRR+,0.666666667
90.948,PRR+,0.666666667
66.462,PRR+,1
66.462,PRR+,0.666666667
66.462,PRR+,1
66.462,PRR+,1
96.195,PRR+,0.333333333
96.195,PRR+,0.666666667
96.195,PRR+,0.666666667
96.195,PRR+,1
127.677,PRR+,1
127.677,PRR+,1
127.677,PRR+,1
127.677,PRR+,1
106.689,PRR+,0.666666667
106.689,PRR+,1
106.689,PRR+,0.666666667
106.689,PRR+,0.666666667
101.442,PRR+,0.666666667
101.442,PRR+,0.666666667
101.442,PRR+,1
101.442,PRR+,0.666666667
75.207,PRR+,1
75.207,PRR+,0.666666667
75.207,PRR+,0.666666667
75.207,PRR+,0.666666667
NA,dark control,0.666666667
NA,dark control,0.666666667
NA,dark control,0.666666667
NA,dark control,0.666666667
174.9,PRR+,0.666666667
174.9,PRR+,0.333333333
174.9,PRR+,0.666666667
174.9,PRR+,0.666666667
52.47,PRR+,0.666666667
52.47,PRR+,0.666666667
52.47,PRR+,0.666666667
52.47,PRR+,0.666666667
90.948,PRR+,1
90.948,PRR+,1
90.948,PRR+,1
90.948,PRR+,0
66.462,PRR+,1
66.462,PRR+,1
66.462,PRR+,1
96.195,PRR+,1
96.195,PRR+,0.666666667
96.195,PRR+,0.333333333
96.195,PRR+,0.333333333
127.677,PRR+,0.666666667
127.677,PRR+,0.666666667
127.677,PRR+,1
127.677,PRR+,0.666666667
106.689,PRR+,1
106.689,PRR+,1
NA,dark control,1
NA,dark control,0.6
NA,dark control,1
NA,dark control,1
157.41,PRR+,0.4
157.41,PRR+,0.4
157.41,PRR+,0.2
157.41,PRR+,0.2
199.386,PRR+,0
199.386,PRR+,0
199.386,PRR+,0
199.386,PRR+,0
NA,dark control,0
NA,dark control,0.4
NA,dark control,0.4
NA,dark control,0.2
349.8,PRR+,0
349.8,PRR+,0
349.8,PRR+,0
349.8,PRR+,0
104.94,PRR+,0.6
104.94,PRR+,0.6
104.94,PRR+,0.2
104.94,PRR+,0.8
181.896,PRR+,0
181.896,PRR+,0
181.896,PRR+,0
181.896,PRR+,0
132.924,PRR+,1
132.924,PRR+,1
132.924,PRR+,0.2
132.924,PRR+,0
150.414,PRR+,0
150.414,PRR+,0.4
150.414,PRR+,0.8
150.414,PRR+,0.8
