UV-B,PRR,survival
0,dark control,1
0,dark control,1
0,dark control,1
0,dark control,1
0,dark control,1
63.8,PRR+,0
63.8,PRR+,0
63.8,PRR+,0
63.8,PRR+,0
63.8,PRR+,0
60.5,PRR+,0
60.5,PRR+,0
60.5,PRR+,0
60.5,PRR+,0
60.5,PRR+,0
33,PRR+,0.4
33,PRR+,0.6
33,PRR+,0
33,PRR+,0.2
33,PRR+,0.8
41.8,PRR+,0.4
41.8,PRR+,0
41.8,PRR+,0
41.8,PRR+,0.2
41.8,PRR+,0
67.1,PRR+,0
67.1,PRR+,0
67.1,PRR+,0
67.1,PRR+,0
67.1,PRR+,0
70.4,PRR+,0
70.4,PRR+,0
70.4,PRR+,0
70.4,PRR+,0
70.4,PRR+,0
80.3,PRR+,0
80.3,PRR+,0
80.3,PRR+,0
80.3,PRR+,0
80.3,PRR+,0
0,dark control,1
0,dark control,1
0,dark control,0.8
0,dark control,1
0,dark control,1
63.8,PRR+,0
63.8,PRR+,0
63.8,PRR+,0.2
63.8,PRR+,0
63.8,PRR+,0
60.5,PRR+,0
60.5,PRR+,0
60.5,PRR+,0
60.5,PRR+,0.2
60.5,PRR+,0.2
33,PRR+,0.6
33,PRR+,0.4
33,PRR+,0.4
33,PRR+,0
33,PRR+,0.6
41.8,PRR+,0.4
41.8,PRR+,0.2
41.8,PRR+,0.2
41.8,PRR+,0.2
41.8,PRR+,0.2
67.1,PRR+,0.2
67.1,PRR+,0.2
67.1,PRR+,0.2
67.1,PRR+,0
67.1,PRR+,0
70.4,PRR+,0
70.4,PRR+,0.2
70.4,PRR+,0
70.4,PRR+,0
70.4,PRR+,0
80.3,PRR+,0
80.3,PRR+,0
80.3,PRR+,0
80.3,PRR+,0
80.3,PRR+,0
0,dark control,1
0,dark control,1
0,dark control,1
0,dark control,1
0,dark control,1
31.9,PRR+,0.4
31.9,PRR+,0
31.9,PRR+,0.25
31.9,PRR+,0.6
31.9,PRR+,0.6
30.25,PRR+,0.4
30.25,PRR+,0.2
30.25,PRR+,0.4
30.25,PRR+,0.8
30.25,PRR+,0.4
16.5,PRR+,1
16.5,PRR+,0.8
16.5,PRR+,1
16.5,PRR+,0.8
16.5,PRR+,0.8
20.9,PRR+,0.8
20.9,PRR+,0.8
20.9,PRR+,1
20.9,PRR+,0.8
20.9,PRR+,0.8
23.65,PRR+,0.8
23.65,PRR+,0.4
23.65,PRR+,0.8
23.65,PRR+,1
23.65,PRR+,0.6
35.2,PRR+,0.6
35.2,PRR+,0.2
35.2,PRR+,0.6
35.2,PRR+,0.6
35.2,PRR+,0.8
40.15,PRR+,0.2
40.15,PRR+,0.4
40.15,PRR+,0.6
40.15,PRR+,0
40.15,PRR+,0.2
