PRR,UV-B,survival
dark control,0,1
dark control,0,1
dark control,0,1
dark control,0,1
dark control,0,1
PRR+,5.661,1
PRR+,5.661,1
PRR+,5.661,1
PRR+,5.661,1
PRR+,5.661,1
PRR+,7.1706,1
PRR+,7.1706,1
PRR+,7.1706,1
PRR+,7.1706,1
PRR+,7.1706,1
PRR+,9.08276,1
PRR+,9.08276,1
PRR+,9.08276,1
PRR+,9.08276,1
PRR+,9.08276,1
PRR+,13.1461,1
PRR+,13.1461,1
PRR+,13.1461,1
PRR+,13.1461,1
PRR+,13.1461,1
PRR+,18.87,1
PRR+,18.87,0.666666667
PRR+,18.87,1
PRR+,18.87,1
PRR+,18.87,1
PRR+,23.902,1
PRR+,23.902,1
PRR+,23.902,1
PRR+,23.902,1
PRR+,23.902,1
PRR+,34.595,1
PRR+,34.595,0
PRR+,34.595,0.666666667
PRR+,34.595,1
PRR+,34.595,1
