UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
15.57,PRR+,1
15.57,PRR+,1
15.57,PRR+,1
15.57,PRR+,1
15.57,PRR+,0.8
22.317,PRR+,0.8
22.317,PRR+,0.8
22.317,PRR+,0.4
22.317,PRR+,0.8
22.317,PRR+,0.8
26.988,PRR+,0
26.988,PRR+,0
26.988,PRR+,0.4
26.988,PRR+,0.4
30.102,PRR+,0
30.102,PRR+,0.8
30.102,PRR+,0
30.102,PRR+,0
30.102,PRR+,0
31.659,PRR+,0
31.659,PRR+,0.25
31.659,PRR+,0
31.659,PRR+,0
31.659,PRR+,0.4
37.887,PRR+,0.2
37.887,PRR+,0
37.887,PRR+,0.2
37.887,PRR+,0
37.887,PRR+,0
51.9,PRR+,0
51.9,PRR+,0
51.9,PRR+,0
51.9,PRR+,0
51.9,PRR+,0
