UV-B,PRR,survival
NA,dark control,3.059823249
NA,dark control,4.225439504
NA,dark control,2.018649518
0,PRR+,1.94828496
0,PRR+,1.98630137
0,PRR+,2.141735919
6,PRR+,3.283343577
6,PRR+,1.173326914
6,PRR+,3.78831563
11,PRR+,0.112885662
11,PRR+,0.021747573
11,PRR+,0.062306673
28,PRR+,0
28,PRR+,0
28,PRR+,0
58,PRR+,0
58,PRR+,0
58,PRR+,0
6,PRR-,0.673712342
6,PRR-,1.163176895
6,PRR-,2.676470588
11,PRR-,1.125
11,PRR-,0.602811036
11,PRR-,0.516814159
28,PRR-,0
28,PRR-,0
28,PRR-,0
58,PRR-,0
58,PRR-,0
58,PRR-,0
