PRR,UV-B,survival
dark control,0,1
dark control,0,1
dark control,0,1
dark control,0,1
dark control,0,1
PRR+,18.612,1
PRR+,18.612,1
PRR+,18.612,1
PRR+,18.612,1
PRR+,18.612,1
PRR+,33.84,1
PRR+,33.84,1
PRR+,33.84,1
PRR+,33.84,1
PRR+,33.84,1
PRR+,42.864,1
PRR+,42.864,1
PRR+,42.864,1
PRR+,42.864,1
PRR+,42.864,1
PRR+,62.04,1
PRR+,62.04,1
PRR+,62.04,1
PRR+,62.04,1
PRR+,62.04,1
PRR+,68.808,1
PRR+,68.808,1
PRR+,68.808,1
PRR+,68.808,1
PRR+,68.808,1
PRR+,82.344,1
PRR+,82.344,0.4
PRR+,82.344,1
PRR+,82.344,0.4
PRR+,82.344,1
PRR+,112.8,0.75
PRR+,112.8,0.6
PRR+,112.8,0.333333333
PRR+,112.8,1
PRR+,112.8,0.8
dark control,0,1
dark control,0,1
dark control,0,0.875
dark control,0,1
dark control,0,1
PRR+,37.224,0.875
PRR+,37.224,1
PRR+,37.224,0.875
PRR+,37.224,1
PRR+,37.224,1
PRR+,67.68,1
PRR+,67.68,1
PRR+,67.68,1
PRR+,67.68,1
PRR+,67.68,1
PRR+,85.728,1
PRR+,85.728,1
PRR+,85.728,1
PRR+,85.728,1
PRR+,85.728,0.857142857
PRR+,124.08,1
PRR+,124.08,0.571428571
PRR+,124.08,1
PRR+,124.08,0.5
PRR+,124.08,0.857142857
PRR+,137.616,1
PRR+,137.616,1
PRR+,137.616,1
PRR+,137.616,1.142857143
PRR+,137.616,1
PRR+,164.688,0
PRR+,164.688,0.857142857
PRR+,164.688,0
PRR+,164.688,1
PRR+,164.688,0.75
PRR+,225.6,0
PRR+,225.6,0
PRR+,225.6,0.666666667
PRR+,225.6,0.333333333
PRR+,225.6,0
