UV-B,PRR,survival
NA,dark control,0.7
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,0.9
10,PRR+,0.555555556
10,PRR+,1
10,PRR+,0.833333333
10,PRR+,0.8
10,PRR+,0.9
14,PRR+,0.7
14,PRR+,0.666666667
14,PRR+,0.6
14,PRR+,0.333333333
14,PRR+,0.6
24,PRR+,0.2
24,PRR+,0
24,PRR+,0.5
24,PRR+,0.111111111
24,PRR+,0.1
31,PRR+,0
31,PRR+,0
31,PRR+,0.444444444
31,PRR+,0
31,PRR+,0
10,PRR-,0
10,PRR-,0
10,PRR-,0
10,PRR-,0
10,PRR-,0
14,PRR-,0
14,PRR-,0
14,PRR-,0
14,PRR-,0
14,PRR-,0
24,PRR-,0
24,PRR-,0
24,PRR-,0
24,PRR-,0
24,PRR-,0
31,PRR-,0
31,PRR-,0
31,PRR-,0
31,PRR-,0
31,PRR-,0
