UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,0.833333333
106,PRR+,0
106,PRR+,0
106,PRR+,0
106,PRR+,0
106,PRR+,0
60,PRR+,0
60,PRR+,0
60,PRR+,0
60,PRR+,0
60,PRR+,0
42,PRR+,0.8
42,PRR+,1
42,PRR+,0
42,PRR+,0
42,PRR+,0.8
19,PRR+,1
19,PRR+,1
19,PRR+,1
19,PRR+,1
19,PRR+,1
106,PRR-,0
106,PRR-,0
106,PRR-,0
106,PRR-,0
106,PRR-,0
60,PRR-,0
60,PRR-,0
60,PRR-,0
60,PRR-,0
60,PRR-,0
42,PRR-,0
42,PRR-,0
42,PRR-,0
42,PRR-,0
42,PRR-,0
19,PRR-,1
19,PRR-,1
19,PRR-,1
19,PRR-,1
19,PRR-,1
