UV-B,PRR,survival
NA,dark control,1
NA,dark control,0.9
NA,dark control,0.9
NA,dark control,0.875
NA,dark control,0.857142857
22.6,PRR+,0.625
22.6,PRR+,1
22.6,PRR+,0.5
22.6,PRR+,0.714285714
22.6,PRR+,0.75
54.2,PRR+,0.375
54.2,PRR+,0.25
54.2,PRR+,0
54.2,PRR+,0.5
54.2,PRR+,0.375
70,PRR+,0.25
70,PRR+,0.375
70,PRR+,0
70,PRR+,0.375
70,PRR+,0.375
113,PRR+,0
113,PRR+,0.25
113,PRR+,0
113,PRR+,0.125
113,PRR+,0.125
22.6,PRR-,0.625
22.6,PRR-,0.375
22.6,PRR-,0.625
22.6,PRR-,0.5
22.6,PRR-,0.125
31.6,PRR-,0.25
31.6,PRR-,0.125
31.6,PRR-,0.375
31.6,PRR-,0.714285714
31.6,PRR-,0.375
54.2,PRR-,0.5
54.2,PRR-,0.375
54.2,PRR-,0.25
54.2,PRR-,0.125
54.2,PRR-,0.25
70,PRR-,0.142857143
70,PRR-,0.375
70,PRR-,0.125
70,PRR-,0.125
70,PRR-,0.125
