UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,0.888888889
NA,dark control,1
NA,dark control,1
29,PRR+,0
29,PRR+,0
29,PRR+,0
29,PRR+,0
29,PRR+,0
12,PRR+,0.8
12,PRR+,0.9
12,PRR+,0.6
12,PRR+,0.9
12,PRR+,0.5
13,PRR+,0.6
13,PRR+,0.8
13,PRR+,0.4
13,PRR+,0.7
13,PRR+,0.6
42,PRR+,0
42,PRR+,0
42,PRR+,0
42,PRR+,0
42,PRR+,0
29,PRR-,0
29,PRR-,0
29,PRR-,0
29,PRR-,0
29,PRR-,0
12,PRR-,0.6
12,PRR-,0.4
12,PRR-,0.454545455
12,PRR-,0.5
12,PRR-,0.4
13,PRR-,0.4
13,PRR-,0.6
13,PRR-,0.3
13,PRR-,0.666666667
13,PRR-,0.2
42,PRR-,0
42,PRR-,0.090909091
42,PRR-,0
42,PRR-,0
42,PRR-,0
