UV-B,PRR,survival
NA,dark control,0.875
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
54,PRR+,0
54,PRR+,0
54,PRR+,0
54,PRR+,0
54,PRR+,0
31,PRR+,0
31,PRR+,0
31,PRR+,0
31,PRR+,0
31,PRR+,0
22,PRR+,0.875
22,PRR+,0.2
22,PRR+,0.625
22,PRR+,0.555555556
22,PRR+,0.25
10,PRR+,1
10,PRR+,1
10,PRR+,1
10,PRR+,0
10,PRR+,0.888888889
54,PRR-,0
54,PRR-,0
54,PRR-,0
54,PRR-,0
54,PRR-,0
31,PRR-,0
31,PRR-,0
31,PRR-,0
31,PRR-,0
31,PRR-,0
22,PRR-,0
22,PRR-,0
22,PRR-,0
22,PRR-,0
22,PRR-,0
10,PRR-,0
10,PRR-,0
10,PRR-,0
10,PRR-,0
10,PRR-,0
