UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,0.833333333
54,PRR+,0
54,PRR+,0
54,PRR+,0
54,PRR+,0
54,PRR+,0
31,PRR+,0
31,PRR+,0.333333333
31,PRR+,0
31,PRR+,0.166666667
31,PRR+,0
22,PRR+,0.625
22,PRR+,0.142857143
22,PRR+,0.428571429
22,PRR+,0.857142857
22,PRR+,0
10,PRR+,1
10,PRR+,1
10,PRR+,1
10,PRR+,0.857142857
10,PRR+,0.666666667
54,PRR-,0
54,PRR-,0
54,PRR-,0
54,PRR-,0
54,PRR-,0
31,PRR-,0
31,PRR-,0
31,PRR-,0
31,PRR-,0
31,PRR-,0
22,PRR-,0
22,PRR-,0
22,PRR-,0
22,PRR-,0
22,PRR-,0
10,PRR-,0
10,PRR-,0
10,PRR-,0
10,PRR-,0
10,PRR-,0
