UV-B,PRR,survival
NA,dark control,0.9
NA,dark control,1
NA,dark control,0.9
NA,dark control,0.9
NA,dark control,1
57.6,PRR+,0
57.6,PRR+,0
57.6,PRR+,0.1
57.6,PRR+,0
57.6,PRR+,0
35.7,PRR+,1
35.7,PRR+,0.9
35.7,PRR+,0.9
35.7,PRR+,0.9
35.7,PRR+,0.8
27.6,PRR+,1
27.6,PRR+,1
27.6,PRR+,1
27.6,PRR+,1
27.6,PRR+,1
16.1,PRR+,1
16.1,PRR+,0.888888889
16.1,PRR+,0.9
16.1,PRR+,1
16.1,PRR+,1
57.6,PRR-,0
57.6,PRR-,0
57.6,PRR-,0
57.6,PRR-,0
57.6,PRR-,0
35.7,PRR-,0.6
35.7,PRR-,0.1
35.7,PRR-,0.4
35.7,PRR-,0.2
35.7,PRR-,0
27.6,PRR-,0.5
27.6,PRR-,0.8
27.6,PRR-,0.5
27.6,PRR-,0.272727273
27.6,PRR-,0.4
16.1,PRR-,0.7
16.1,PRR-,0.9
16.1,PRR-,0.714285714
16.1,PRR-,1
16.1,PRR-,0.8
