UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,0.888888889
NA,dark control,0.888888889
68.8,PRR+,0
68.8,PRR+,0
68.8,PRR+,0
68.8,PRR+,0
68.8,PRR+,0
39.7,PRR+,0
39.7,PRR+,0.090909091
39.7,PRR+,0.1
39.7,PRR+,0
39.7,PRR+,0
27.8,PRR+,0.6
27.8,PRR+,0.727272727
27.8,PRR+,0.9
27.8,PRR+,0.636363636
27.8,PRR+,0.363636364
16.1,PRR+,1
16.1,PRR+,1
16.1,PRR+,0.9
16.1,PRR+,1
16.1,PRR+,0.9
16.1,PRR-,0.8
16.1,PRR-,0.4
16.1,PRR-,0.9
16.1,PRR-,0.9
16.1,PRR-,0.6
9.5,PRR-,1
9.5,PRR-,1
9.5,PRR-,1
9.5,PRR-,0.666666667
9.5,PRR-,1
13.4,PRR-,0.888888889
13.4,PRR-,1
13.4,PRR-,0.909090909
13.4,PRR-,0.8
13.4,PRR-,0.8
5.4,PRR-,1
5.4,PRR-,0.909090909
5.4,PRR-,0.888888889
5.4,PRR-,1
5.4,PRR-,0.909090909
