UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
268.7,PRR+,1
268.7,PRR+,1
268.7,PRR+,1
268.7,PRR+,1
268.7,PRR+,1
268.7,PRR+,1
268.7,PRR+,1
268.7,PRR+,1
268.7,PRR+,0
268.7,PRR+,0
340.4,PRR+,1
340.4,PRR+,1
340.4,PRR+,1
340.4,PRR+,1
340.4,PRR+,0
340.4,PRR+,0
340.4,PRR+,0
340.4,PRR+,0
340.4,PRR+,0
340.4,PRR+,0
385.2,PRR+,1
385.2,PRR+,1
385.2,PRR+,0
385.2,PRR+,0
385.2,PRR+,0
385.2,PRR+,0
385.2,PRR+,0
385.2,PRR+,0
385.2,PRR+,0
385.2,PRR+,0
465.8,PRR+,0
465.8,PRR+,0
465.8,PRR+,0
465.8,PRR+,0
465.8,PRR+,0
465.8,PRR+,0
465.8,PRR+,0
465.8,PRR+,0
465.8,PRR+,0
465.8,PRR+,0
0,PRR+,1
0,PRR+,1
0,PRR+,1
0,PRR+,1
0,PRR+,1
0,PRR+,1
0,PRR+,1
0,PRR+,1
0,PRR+,1
0,PRR+,1
385.2,PRR+,1
385.2,PRR+,1
385.2,PRR+,1
385.2,PRR+,0
385.2,PRR+,0
385.2,PRR+,0
385.2,PRR+,0
385.2,PRR+,0
385.2,PRR+,0
385.2,PRR+,0
492.6,PRR+,1
492.6,PRR+,0
492.6,PRR+,0
492.6,PRR+,0
492.6,PRR+,0
492.6,PRR+,0
492.6,PRR+,0
492.6,PRR+,0
492.6,PRR+,0
492.6,PRR+,0
573.2,PRR+,0
573.2,PRR+,0
573.2,PRR+,0
573.2,PRR+,0
573.2,PRR+,0
573.2,PRR+,0
573.2,PRR+,0
573.2,PRR+,0
573.2,PRR+,0
573.2,PRR+,0
653.9,PRR+,0
653.9,PRR+,0
653.9,PRR+,0
653.9,PRR+,0
653.9,PRR+,0
653.9,PRR+,0
653.9,PRR+,0
653.9,PRR+,0
653.9,PRR+,0
653.9,PRR+,0
