UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,0.8
NA,dark control,1
NA,dark control,1
NA,dark control,0.8
NA,dark control,1
NA,dark control,1
NA,dark control,0.833333333
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,0.8
NA,dark control,0.6
NA,dark control,1
NA,dark control,1
73,PRR+,0.6
73,PRR+,0.4
73,PRR+,0.2
73,PRR+,0.4
73,PRR+,0.2
73,PRR-,0.2
73,PRR-,0.2
73,PRR-,0.4
73,PRR-,0.6
73,PRR-,0.6
56,PRR+,0.8
56,PRR+,0.8
56,PRR+,0.6
56,PRR+,0.6
56,PRR+,0.4
56,PRR-,0.6
56,PRR-,0.2
56,PRR-,0.4
56,PRR-,0.2
56,PRR-,0.2
45,PRR+,1
45,PRR+,0.6
45,PRR+,0.4
45,PRR+,0.8
45,PRR+,0.8
45,PRR-,0.4
45,PRR-,0.6
45,PRR-,0.4
45,PRR-,0.6
45,PRR-,0.4
35,PRR+,0.8
35,PRR+,0.8
35,PRR+,0.6
35,PRR+,1
35,PRR+,1
35,PRR-,0.2
35,PRR-,0.2
35,PRR-,0.2
35,PRR-,0.6
35,PRR-,0.4
35,PRR+,0.8
35,PRR+,1
35,PRR+,1
35,PRR+,1
35,PRR+,1
35,PRR-,1
35,PRR-,0.6
35,PRR-,0.2
35,PRR-,0.4
35,PRR-,0.4
28,PRR+,1
28,PRR+,1
28,PRR+,1
28,PRR+,1
28,PRR+,1
28,PRR-,0.8
28,PRR-,1
28,PRR-,0.4
28,PRR-,0.4
28,PRR-,0.6
21,PRR+,0.8
21,PRR+,1
21,PRR+,1
21,PRR+,0.6
21,PRR+,0.8
21,PRR-,0.6
21,PRR-,0.4
21,PRR-,1
21,PRR-,0.8
21,PRR-,1
15,PRR+,0.8
15,PRR+,1
15,PRR+,1
15,PRR+,0.6
15,PRR+,0.8
15,PRR-,0.8
15,PRR-,1
15,PRR-,1
15,PRR-,0.6
15,PRR-,0.6
