PRR,UV-B,survival
dark control,NA,1
dark control,NA,1
dark control,NA,1
dark control,NA,1
dark control,NA,1
PRR+,54,0
PRR+,54,0
PRR+,54,0
PRR+,54,0
PRR+,54,0
PRR+,31,0
PRR+,31,0
PRR+,31,0
PRR+,31,0.125
PRR+,31,0.125
PRR+,22,0.125
PRR+,22,0.125
PRR+,22,0.125
PRR+,22,0
PRR+,22,0.5
PRR+,10,1
PRR+,10,1
PRR+,10,1
PRR+,10,1
PRR+,10,0.857142857
PRR-,54,0
PRR-,54,0
PRR-,54,0
PRR-,54,0
PRR-,54,0
PRR-,31,0
PRR-,31,0
PRR-,31,0
PRR-,31,0
PRR-,31,0
PRR-,22,0
PRR-,22,0
PRR-,22,0
PRR-,22,0
PRR-,22,0
PRR-,10,0
PRR-,10,0
PRR-,10,0
PRR-,10,0
PRR-,10,0
