UV-B,PRR,survival
NA,dark control,1
NA,dark control,0.9
NA,dark control,1
NA,dark control,0.6
NA,dark control,1
120,PRR+,0.8
120,PRR+,1
120,PRR+,0.9
120,PRR+,1
120,PRR+,1
205,PRR+,0.9
205,PRR+,1
205,PRR+,1
205,PRR+,0.7
205,PRR+,0.7
265,PRR+,0.9
265,PRR+,0.4
265,PRR+,0.5
265,PRR+,0.4
265,PRR+,0.9
428,PRR+,0
428,PRR+,0
428,PRR+,0
428,PRR+,0.1
428,PRR+,0
120,PRR-,0
120,PRR-,0
120,PRR-,0
120,PRR-,0
120,PRR-,0
205,PRR-,0
205,PRR-,0
205,PRR-,0
205,PRR-,0
205,PRR-,0
265,PRR-,0
265,PRR-,0
265,PRR-,0
265,PRR-,0
265,PRR-,0
428,PRR-,0
428,PRR-,0
428,PRR-,0
428,PRR-,0
428,PRR-,0
