UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,1
NA,dark control,0.875
NA,dark control,0.875
119,PRR+,1
119,PRR+,1
119,PRR+,1
119,PRR+,0.857142857
119,PRR+,0.714285714
204,PRR+,1
204,PRR+,1
204,PRR+,1
204,PRR+,0.857142857
204,PRR+,1
264,PRR+,1
264,PRR+,0.875
264,PRR+,1
264,PRR+,1
264,PRR+,0.625
426,PRR+,0
426,PRR+,0.142857143
426,PRR+,0.25
426,PRR+,0.25
426,PRR+,0
119,PRR-,0.75
119,PRR-,0.25
119,PRR-,0.714285714
119,PRR-,0.5
119,PRR-,0.571428571
204,PRR-,0.125
204,PRR-,0
204,PRR-,0
204,PRR-,0.125
204,PRR-,0.125
264,PRR-,0
264,PRR-,0
264,PRR-,0.375
264,PRR-,0
264,PRR-,0
426,PRR-,0
426,PRR-,0
426,PRR-,0
426,PRR-,0
426,PRR-,0
