UV-B,PRR,survival
NA,dark control,1
NA,dark control,1
NA,dark control,0.9
NA,dark control,1
NA,dark control,1
121,PRR+,0.9
121,PRR+,0.9
121,PRR+,1
121,PRR+,1
121,PRR+,1
208,PRR+,0.8
208,PRR+,0.7
208,PRR+,1
208,PRR+,0.5
208,PRR+,0.8
268,PRR+,0.5
268,PRR+,0.5
268,PRR+,0.6
268,PRR+,0.5
268,PRR+,0.5
433,PRR+,0
433,PRR+,0
433,PRR+,0.1
433,PRR+,0
433,PRR+,0
121,PRR-,0
121,PRR-,0.1
121,PRR-,0.3
121,PRR-,0.1
121,PRR-,0.2
208,PRR-,0
208,PRR-,0
208,PRR-,0
208,PRR-,0
208,PRR-,0
268,PRR-,0
268,PRR-,0
268,PRR-,0
268,PRR-,0
268,PRR-,0
433,PRR-,0
433,PRR-,0
433,PRR-,0
433,PRR-,0
433,PRR-,0
